gloss,closs,cfloss,crloss,cploss
-658.2012984537287,-416.20251635025494,127.23644272066883,-543.4389628796373,195.45787143707275
0.0,-496.23160018920896,-204.69759712219238,-291.5339969873428,234.77280932385474
0.0,-655.0522430419923,-480.74592971801763,-174.30631275177,275.52080059051514
0.0,-580.28910446167,314.06841537058347,-894.3575122833253,255.6520221401006
0.0,-535.8123779296875,1126.7569183349608,-1662.5692939758294,245.2194738087128
-6653.406921386719,-407.31796264648443,1372.6822387695313,-1780.000201416016,165.5118112564087
0.0,-157.6633068084717,828.6739570617676,-986.3372638702392,56.68356895446777
0.0,-156.44315795898436,1181.7395141601564,-1338.1826721191408,55.65671030431986
0.0,-153.04621429443358,1147.0352493286132,-1300.0814636230466,57.53026149212383
0.0,-168.7245910644531,1073.1877716064455,-1241.9123626708983,58.87474453449249
-6716.550720214844,-71.10667419433594,1272.4287658691408,-1343.5354400634767,23.06514424085617
0.0,-48.39495239257813,1366.4727294921875,-1414.8676818847655,14.671801656484604
0.0,-70.20310363769534,1277.9085998535156,-1348.1117034912108,20.79639908671379
0.0,-84.35107727050782,1659.747103881836,-1744.0981811523436,27.14229702949524
0.0,-87.64136657714845,1797.8377563476563,-1885.4791229248044,27.360969603061676
-7006.238876342773,-34.67051391601563,1494.2492279052733,-1528.919741821289,9.991020225919783
0.0,-77.35940856933593,1225.4248626708984,-1302.7842712402344,26.049585679546
0.0,-98.31325683593751,1224.0588134765621,-1322.3720703124998,31.912966907024384
0.0,-115.43527832031249,1386.4043457031248,-1501.8396240234374,38.61916261911392
0.0,-121.1983612060547,1698.5332916259763,-1819.7316528320314,41.08792757987976
-9345.441955566406,-44.04705200195312,1888.1716064453121,-1932.2186584472656,13.360966131091118
0.0,-87.95582580566408,1569.1558380126955,-1657.1116638183591,29.170159567147493
0.0,-112.80161743164064,1961.3837280273435,-2074.185345458984,37.225945591926575
0.0,-116.64450073242186,2021.9652832031256,-2138.609783935547,39.524639546871185
0.0,-116.00054321289063,2060.933923339844,-2176.934466552734,39.68380531668663
-10885.51577758789,-55.072827148437504,2192.274047851562,-2247.3468749999997,17.066766254603863
0.0,-75.079931640625,2111.0635681152344,-2186.143499755859,23.502440417185426
0.0,-103.41545410156249,2600.1910156250005,-2703.6064697265624,33.80823743343353
0.0,-109.09649047851562,2427.2605224609374,-2536.3570129394525,36.94179666042328
0.0,-109.47457885742186,2431.896948242187,-2541.3715270996095,36.42899686098099
-10178.370697021484,-46.19625854492188,2008.5300903320317,-2054.726348876953,13.468165151774883
0.0,-77.10298461914063,2153.1226074218753,-2230.2255920410153,24.11715853214264
0.0,-111.31653442382814,2190.181359863281,-2301.4978942871094,37.062336683273315
0.0,-120.28583374023438,2519.4804504394538,-2639.7662841796873,41.13903218507767
0.0,-122.66637573242186,2604.105572509766,-2726.7719482421876,41.23700988292694
-12689.592193603516,-41.163201904296876,2600.2709594726566,-2641.4341613769534,11.989412769675255
0.0,-83.77448120117187,1943.4073486328127,-2027.1818298339845,27.496619187295437
0.0,-144.2831787109375,2686.185217285156,-2830.468395996094,50.3330934047699
0.0,-157.51920166015628,2592.550122070313,-2750.069323730469,55.201377391815186
0.0,-165.42647705078124,2724.9998046875,-2890.426281738281,59.10171353816986
-12231.233764648438,-54.10355224609375,2483.3173583984376,-2537.4209106445314,16.61009767651558
0.0,-64.28811645507812,2198.641369628906,-2262.9294860839846,19.895830288529396
0.0,-98.67741699218749,2239.5705383300783,-2338.2479553222656,32.404822170734406
0.0,-106.93640747070312,2457.345684814453,-2564.282092285156,35.56457144021988
0.0,-108.18818969726563,2475.3491333007814,-2583.537322998047,35.65234738588333
-9661.590423583984,-40.70167846679688,1986.5913696289058,-2027.2930480957032,12.524055846966803
0.0,-58.30356445312499,1926.8890197753906,-1985.1925842285157,17.159139631316066
0.0,-78.41409912109377,2096.035339355469,-2174.4494384765626,24.546617716550827
0.0,-86.0377685546875,2034.7209838867186,-2120.7587524414066,26.813144266605377
0.0,-88.84032592773437,2116.5859924316405,-2205.426318359375,28.722895324230194
-8897.768188476562,-41.38717651367188,1830.8763610839844,-1872.263537597656,11.850550953298807
0.0,-68.17728881835939,1904.9464233398442,-1973.123712158203,20.467889696359634
0.0,-84.96260375976561,2288.5954284667964,-2373.5580322265623,27.478029042482376
0.0,-90.70356445312501,2609.896276855469,-2700.599841308594,29.23585295677185
0.0,-90.75003662109376,2522.8526611328125,-2613.602697753906,28.865664064884186
-10655.980560302734,-39.381188964843744,2166.268054199219,-2205.6492431640627,10.970558069646358
0.0,-39.282958984375,2043.3591796874998,-2082.6421386718753,10.41702451184392
0.0,-48.14448852539063,2124.773614501953,-2172.9181030273435,13.770491495728493
0.0,-54.01195068359375,2282.917578125,-2336.9295288085937,15.558586403727531
0.0,-55.27664794921875,2202.091552734375,-2257.368200683594,15.710788130760193
-8944.86245727539,-28.639215087890623,1826.5116088867187,-1855.1508239746092,7.521267592906952
0.0,-37.6434814453125,1653.9561279296877,-1691.5996093749998,10.576761201024055
0.0,-41.91461181640624,1459.4452270507813,-1501.3598388671874,11.638456344604492
0.0,-49.442535400390625,1891.4156799316406,-1940.8582153320312,13.690276056528091
0.0,-49.51977539062501,1698.0611328124999,-1747.5809082031253,14.342354096472263
-6646.318206787109,-19.687362670898438,1335.90322265625,-1355.5905853271486,4.607082422822714
0.0,-21.834320068359375,1260.9491882324219,-1282.7835083007812,5.4456006940454245
0.0,-30.620452880859368,1357.7277191162111,-1388.3481719970705,7.755300037562847
0.0,-33.32808837890625,1480.3434265136718,-1513.6715148925784,8.701091200113297
0.0,-33.7108154296875,1379.5162292480468,-1413.227044677734,8.415662236511707
-5093.777008056641,-17.39203796386719,1068.3302703857423,-1085.7223083496096,4.4606003584340215
0.0,-33.110208129882814,1033.6147247314452,-1066.7249328613282,8.092045959085226
0.0,-44.933276367187496,841.4742553710936,-886.407531738281,12.294848769903183
0.0,-51.783233642578125,991.3947631835938,-1043.177996826172,14.893592581152916
0.0,-53.707434082031256,961.1512176513671,-1014.8586517333985,15.043645143508911
-2604.1201553344727,-12.548152160644534,547.7075096130371,-560.2556617736816,4.108837877865881
0.0,-20.633460235595702,855.524230194092,-876.1576904296877,4.698120553046465
0.0,-31.801995849609376,803.1813629150389,-834.9833587646484,8.17792922258377
0.0,-39.628717041015626,740.876692199707,-780.5054092407227,10.510436117649078
0.0,-41.954672241210936,680.4275894165039,-722.3822616577148,11.862486779689789
-2426.144708633423,-20.53852691650391,466.8732192993165,-487.4117462158203,4.592615406960249
0.0,-34.68241806030273,531.9308296203612,-566.613247680664,9.359559297561646
0.0,-39.08584213256836,486.02591552734367,-525.1117576599121,10.562813328579068
0.0,-43.386619567871094,640.9449813842772,-684.3316009521485,11.445967271924019
0.0,-47.92957763671875,694.4221145629882,-742.3516921997071,13.179245054721832
-3579.200614929199,-25.564610290527344,711.6073966979981,-737.1720069885254,7.009953951463103
0.0,-29.04196319580078,751.2536926269532,-780.295655822754,8.070028886198997
0.0,-38.87385711669922,562.0738784790038,-600.9477355957031,9.930844970047474
0.0,-42.707366943359375,596.3113525390626,-639.018719482422,11.92177714407444
0.0,-44.30799255371094,515.242057800293,-559.5500503540038,12.291427463293076
-2051.321014404297,-28.355165100097658,412.22412872314453,-440.57929382324215,7.281047224998474
0.0,-34.99973907470703,304.1809131622315,-339.1806522369385,9.012619331479073
0.0,-41.676012420654295,345.71689147949235,-387.3929039001465,11.366213776171207
0.0,-42.06396179199218,273.92005920410156,-315.9840209960937,11.29589806497097
0.0,-41.75456619262695,260.8411750793457,-302.59574127197266,11.368512198328972
-1127.419005393982,-26.7408260345459,211.36004714965824,-238.10087318420406,6.678244506940246
0.0,-31.26603546142578,243.8139808654785,-275.0800163269043,8.803088832646608
0.0,-34.99616260528565,127.41723575592042,-162.41339850425726,9.177314892411232
0.0,-39.22574386596679,127.37111635208129,-166.59686012268068,10.919584572315216
0.0,-40.525465393066405,130.08753118515017,-170.61299667358398,11.07640577107668
-720.519836306572,-32.549957466125484,149.73902589082718,-182.28898334503177,9.187380485236645
0.0,-41.00291004180909,86.22125005722047,-127.22416019439697,11.111457630991936
0.0,-47.66269149780273,133.82504577636718,-181.48773727416992,13.439682275056839
0.0,-50.66134223937989,133.0867706298828,-183.74811286926268,14.70215168595314
0.0,-52.876094627380375,123.49267292022704,-176.3687675476074,15.178691267967224
-531.0632355213165,-41.689562416076654,108.4302524089813,-150.1198148727417,11.624886840581894
0.0,-43.22578144073486,126.5484022140503,-169.77418365478522,12.113294094800949
0.0,-45.354384994506844,98.82283782958986,-144.17722282409673,12.553256884217262
0.0,-45.700409889221184,96.09210033416745,-141.7925102233887,13.153308629989624
0.0,-49.69565353393555,92.9501647949219,-142.64581832885744,14.33533127605915
-438.24524688720703,-44.47169456481934,89.1393886566162,-133.61108322143554,12.754659503698349
0.0,-46.24410133361817,100.38608283996582,-146.63018417358398,13.170688092708588
0.0,-49.54219703674316,96.46064949035645,-146.00284652709962,14.364637345075607
0.0,-49.95181198120117,84.11857604980467,-134.07038803100588,14.030913561582565
0.0,-52.21972045898437,94.41658821105959,-146.63630867004395,14.957249402999878
-477.7830410003662,-48.16077651977539,95.23811492919923,-143.39889144897464,13.723918214440346
0.0,-48.21971244812012,63.16862483024596,-111.38833732604981,14.246295124292374
0.0,-53.25929870605468,113.96468696594238,-167.2239856719971,15.576992988586426
0.0,-54.838379287719725,91.05341835021973,-145.89179763793945,16.035194903612137
0.0,-57.2172643661499,83.86820468902587,-141.08546905517576,17.383740603923798
-314.7503328323364,-44.048571014404295,64.79271965026855,-108.84129066467283,12.46530033648014
0.0,-49.80080680847169,79.51910438537598,-129.31991119384764,14.254816725850105
0.0,-54.71123886108399,73.94870071411133,-128.6599395751953,15.620081156492233
0.0,-57.2461721420288,71.77333736419676,-129.01950950622557,16.751984655857086
0.0,-55.8634828567505,65.37155475616454,-121.23503761291504,16.765156760811806
-353.2744679450989,-50.034278488159174,73.64609565734864,-123.68037414550781,14.683079659938812
0.0,-52.554378509521484,68.28675918579101,-120.84113769531251,14.729306012392044
0.0,-55.04285163879394,56.34357795715332,-111.38642959594726,16.134361505508423
0.0,-55.99088840484619,55.632500648498535,-111.62338905334471,16.409586042165756
0.0,-57.03023471832275,54.83059425354004,-111.86082916259767,16.62855926156044
-280.26836585998535,-49.08068809509278,57.35705299377442,-106.43774108886718,13.713327541947365
0.0,-50.39302330017089,50.573316955566405,-100.9663402557373,14.493290051817894
0.0,-54.81190013885498,50.46022052764892,-105.27212066650392,15.75597569346428
0.0,-54.99896869659425,54.343992519378666,-109.34296112060545,16.105148822069168
0.0,-58.103830528259266,57.39692077636719,-115.5007514953613,17.03106126189232
-304.3008155822754,-50.31008186340333,62.844384002685544,-113.15446586608886,14.120141118764877
0.0,-52.30920467376709,55.501416206359856,-107.81062088012695,15.027337312698364
0.0,-54.50899486541748,60.590170860290534,-115.09916572570802,15.717751532793045
0.0,-56.226654434204114,61.715633773803724,-117.94228820800784,16.336655139923096
0.0,-57.514800262451175,60.08339977264404,-117.59820022583007,16.957881093025208
-257.4898433685303,-49.08742733001709,53.82592716217041,-102.91335449218748,13.797761529684067
0.0,-52.34665660858154,46.45327062606811,-98.79992713928223,14.911683529615402
0.0,-57.45666675567628,43.738198852539064,-101.19486541748047,16.62058675289154
0.0,-59.92146835327148,51.505264091491696,-111.42673263549804,17.792295813560486
0.0,-61.78440685272217,52.8156702041626,-114.60007705688477,18.398818016052246
-287.08206367492676,-49.48663272857665,59.48257541656495,-108.9692081451416,14.113526403903961
0.0,-54.34438934326171,57.1796070098877,-111.52399635314943,15.404249966144562
0.0,-57.66916694641114,56.06045608520507,-113.72962303161619,16.84867486357689
0.0,-60.39267330169679,61.359519195556636,-121.75219268798827,18.174324333667755
0.0,-59.69132347106933,60.908173370361325,-120.59949684143066,17.324072748422623
-276.63133335113525,-50.6427339553833,58.06829090118407,-108.71102485656738,14.303392857313156
0.0,-52.33466110229493,49.97948570251465,-102.31414680480958,14.896233767271042
0.0,-56.693017578125,49.21456470489501,-105.9075824737549,16.627576798200607
0.0,-57.34930267333985,52.100099945068365,-109.44940261840821,16.42340087890625
0.0,-58.47951526641847,53.40738544464111,-111.88690071105955,17.131163895130157
-250.65173435211182,-50.99806804656983,53.642441749572754,-104.6405097961426,14.886840641498566
0.0,-51.70094547271729,44.724812507629395,-96.42575798034667,14.661772966384888
0.0,-56.941020584106454,49.32826452255249,-106.26928482055662,16.310097754001617
0.0,-59.38765640258789,46.72988023757935,-106.1175365447998,17.417255252599716
0.0,-61.69774875640868,46.14876441955566,-107.84651336669923,18.324128031730652
-188.27095699310303,-49.449578285217285,39.592539596557614,-89.04211788177491,14.182136431336403
0.0,-54.81931953430176,41.77427062988281,-96.59359016418458,15.833869516849518
0.0,-58.9580717086792,44.54418125152588,-103.50225257873534,17.173897951841354
0.0,-60.83268756866454,46.143119812011705,-106.97580757141112,17.710850059986115
0.0,-61.77699794769286,45.28167896270752,-107.05867652893068,18.392548739910126
-237.0315237045288,-52.308893013000485,49.36684055328369,-101.67573356628418,14.856298506259918
0.0,-54.61509475708007,48.61706428527832,-103.2321590423584,15.736689984798431
0.0,-60.201450538635264,49.42232151031495,-109.6237720489502,17.570016503334045
0.0,-61.571969604492196,48.223966979980474,-109.79593658447267,17.92066991329193
0.0,-62.46045722961426,46.827066802978514,-109.28752365112305,18.531439661979675
-255.4708709716797,-51.0570426940918,52.99893665313721,-104.05597953796386,14.575362011790276
0.0,-54.82044734954835,51.03481235504151,-105.85525970458984,15.581357598304749
0.0,-59.33815307617188,48.63338108062743,-107.97153396606446,17.48678880929947
0.0,-60.55281810760498,44.46165790557861,-105.01447601318358,17.77454835176468
0.0,-61.410787200927736,44.58900814056396,-105.99979515075682,18.02461987733841
-233.93642234802246,-51.19958267211914,47.80720958709716,-99.00679206848145,14.346119999885559
0.0,-52.76079616546631,45.316391181945804,-98.07718734741212,15.028735995292664
0.0,-58.0904146194458,44.12983646392823,-102.220251083374,16.91437256336212
0.0,-59.43331394195557,42.926819229125975,-102.36013336181641,17.332979798316956
0.0,-60.592155265808096,40.502266693115224,-101.09442176818848,17.724146515130997
-212.19697189331055,-51.86317405700683,43.88052511215211,-95.74369926452637,14.679480284452438
0.0,-54.388811111450195,44.414196586608874,-98.80300788879396,15.513447284698486
0.0,-58.77587318420411,43.85591468811035,-102.63178787231443,17.00258708000183
0.0,-60.42613925933837,41.43599433898925,-101.86213378906248,17.663540244102478
0.0,-61.28454494476319,40.29845476150512,-101.58299942016602,18.206406325101852
-199.1023654937744,-52.714708709716795,41.17302322387695,-93.88773193359374,14.937410235404968
0.0,-55.4923023223877,35.55528926849365,-91.0475917816162,15.921261757612228
0.0,-60.1254638671875,34.636735630035396,-94.7621997833252,17.81748104095459
0.0,-61.93798503875733,39.92757949829101,-101.86556434631349,18.421652406454086
0.0,-62.88351421356201,37.16004543304443,-100.04355964660644,18.556228697299957
